,x,y,z,value,token
341,-0.60839844,0.007423401,-0.19433594,0.29956055, new ->  cell
342,-0.60791016,-0.00573349,-0.09991455,0.29907227, new ->  objects
343,-0.60791016,-0.1385498,-0.17614746,0.29907227, new ->  technologies
344,-0.6074219,-0.107543945,-0.24499512,0.29833984, new ->  approaches
345,-0.60595703,-0.048797607,0.48583984,0.29833984, New ->  York
346,-0.6074219,-0.124572754,-0.062408447,0.2980957, new ->  state
347,-0.6074219,0.020858765,-0.13354492,0.2980957, new ->  jobs
348,-0.60595703,-0.055877686,0.48168945,0.2980957, New ->  York
349,-0.6074219,-0.0657959,-0.19360352,0.2980957, new ->  developments
350,-0.6074219,0.026733398,-0.20812988,0.2980957, new ->  proteins
351,-0.6074219,-0.11291504,-0.16894531,0.2980957, new ->  treatments
352,-0.60595703,-0.14038086,0.42260742,0.29711914, New ->  York
353,-0.6069336,-0.059387207,-0.19067383,0.296875, new ->  data
354,-0.6069336,-0.13415527,-0.020324707,0.296875, new ->  Chinese
355,-0.6069336,-0.13342285,-0.1484375,0.296875, new ->  light
356,-0.6069336,-0.10101318,-0.19152832,0.296875, new ->  treatments
357,-0.6064453,-0.26708984,-0.080200195,0.29638672, new ->  Indian
358,-0.60498047,-0.029159546,0.4880371,0.29614258, New ->  York
359,-0.60546875,0.057128906,0.44335938,0.29614258, New ->  York
360,-0.60546875,-0.09246826,0.42138672,0.29589844,New ->  York
361,-0.6064453,-0.1459961,-0.13916016,0.29589844, new ->  agreement
362,-0.6064453,-0.007843018,-0.14428711,0.29589844, new ->  bricks
363,-0.6064453,-0.00793457,-0.13708496,0.29589844, new ->  sources
364,-0.60595703,-0.011383057,-0.2322998,0.2956543, new ->  direction
365,-0.60595703,-0.24328613,-0.013153076,0.2956543, new ->  regulation
366,-0.60595703,-0.013008118,0.25390625,0.2956543, New ->  Music
367,-0.60595703,0.007335663,-0.13757324,0.29541016, new ->  shares
368,-0.6044922,-0.022521973,0.4868164,0.29516602, New ->  Zealand
369,-0.60546875,0.00032496452,-0.19799805,0.29418945, new ->  businesses
370,-0.60546875,-0.109375,-0.13098145,0.29418945, new ->  comments
371,-0.60546875,0.001748085,-0.06304932,0.29418945, new ->  shoots
